CME,t0,dt0,pa,da,v,dv,minv,maxv,halo?,datetime
"<a href=""CME0135/CME.html"" target=""_blank"" >0135</a>",2025/03/27 08:01,01,221,008,0156,0007,0149,0166,,2025-03-27 08:01:00
"<a href=""CME0134/CME.html"" target=""_blank"" >0134</a>",2025/03/27 07:36,01,221,012,0133,0016,0107,0160,,2025-03-27 07:36:00
"<a href=""CME0133/CME.html"" target=""_blank"" >0133</a>",2025/03/27 05:36,02,310,010,0356,0072,0300,0513,,2025-03-27 05:36:00
"<a href=""CME0132/CME.html"" target=""_blank"" >0132</a>",2025/03/27 05:36,01,036,010,0278,0052,0183,0345,,2025-03-27 05:36:00
"<a href=""CME0131/CME.html"" target=""_blank"" >0131</a>",2025/03/27 04:25,01,055,012,0228,0014,0205,0244,,2025-03-27 04:25:00
"<a href=""CME0130/CME.html"" target=""_blank"" >0130</a>",2025/03/26 21:26,02,256,030,0338,0108,0147,0569,,2025-03-26 21:26:00
"<a href=""CME0129/CME.html"" target=""_blank"" >0129</a>",2025/03/26 18:12,02,059,012,0286,0498,0123,1495,,2025-03-26 18:12:00
"<a href=""CME0128/CME.html"" target=""_blank"" >0128</a>",2025/03/26 14:01,03,061,052,0332,0110,0171,0520,,2025-03-26 14:01:00
"<a href=""CME0127/CME.html"" target=""_blank"" >0127</a>",2025/03/26 11:01,02,029,024,0262,0030,0246,0339,,2025-03-26 11:01:00
"<a href=""CME0126/CME.html"" target=""_blank"" >0126</a>",2025/03/26 09:49,02,265,052,0410,0055,0332,0519,,2025-03-26 09:49:00
"<a href=""CME0125/CME.html"" target=""_blank"" >0125</a>",2025/03/26 04:36,02,258,022,0297,0034,0258,0385,,2025-03-26 04:36:00
"<a href=""CME0124/CME.html"" target=""_blank"" >0124</a>",2025/03/25 19:49,01,193,040,0416,0218,0195,0892,,2025-03-25 19:49:00
"<a href=""CME0123/CME.html"" target=""_blank"" >0123</a>",2025/03/25 13:25,02,276,050,0411,0111,0227,0712,,2025-03-25 13:25:00
"<a href=""CME0122/CME.html"" target=""_blank"" >0122</a>",2025/03/25 10:12,01,275,032,0567,0149,0187,0744,,2025-03-25 10:12:00
"<a href=""CME0121/CME.html"" target=""_blank"" >0121</a>",2025/03/25 02:36,01,043,012,0946,0063,0844,1041,,2025-03-25 02:36:00
"<a href=""CME0120/CME.html"" target=""_blank"" >0120</a>",2025/03/25 02:12,01,049,012,1488,0479,0710,2016,,2025-03-25 02:12:00
"<a href=""CME0119/CME.html"" target=""_blank"" >0119</a>",2025/03/25 00:00,01,043,008,1358,0320,1077,1953,,2025-03-25 00:00:00
"<a href=""CME0118/CME.html"" target=""_blank"" >0118</a>",2025/03/24 22:24,00,117,012,0781,0170,0521,0880,,2025-03-24 22:24:00
"<a href=""CME0117/CME.html"" target=""_blank"" >0117</a>",2025/03/24 19:12,00,117,012,0763,0387,0606,1488,,2025-03-24 19:12:00
